NAME,TEAM,SALARY
Stephen Curry,Golden State Warriors,"$37,457,154"
Blake Griffin,LA Clippers,"$32,088,932"
Paul Millsap,Denver Nuggets,"$31,269,231"
Kyle Lowry,Toronto Raptors,"$31,200,000"
Gordon Hayward,Boston Celtics,"$29,727,900"
Mike Conley,Memphis Grizzlies,"$28,530,608"
Russell Westbrook,Oklahoma City Thunder,"$28,530,608"
James Harden,Houston Rockets,"$28,299,399"
DeMar DeRozan,Toronto Raptors,"$27,739,975"
Al Horford,Boston Celtics,"$27,734,406"
Carmelo Anthony,Oklahoma City Thunder,"$26,243,760"
Damian Lillard,Portland Trail Blazers,"$26,153,057"
Otto Porter Jr.,Washington Wizards,"$26,011,913"
Jrue Holiday,New Orleans Pelicans,"$25,686,667"
Bradley Beal,Washington Wizards,"$25,434,263"
Andre Drummond,Detroit Pistons,"$25,434,263"
Hassan Whiteside,Miami Heat,"$25,434,262"
Joel Embiid,Philadelphia 76ers,"$25,250,000"
Chris Paul,Houston Rockets,"$24,599,495"
Giannis Antetokounmpo,Milwaukee Bucks,"$24,157,303"
Kevin Love,Cleveland Cavaliers,"$24,119,025"
Nicolas Batum,Charlotte Hornets,"$24,000,000"
CJ McCollum,Portland Trail Blazers,"$23,962,573"
Dwight Howard,Charlotte Hornets,"$23,819,725"
Anthony Davis,New Orleans Pelicans,"$23,775,506"
Chandler Parsons,Memphis Grizzlies,"$23,112,004"
Harrison Barnes,Dallas Mavericks,"$23,112,004"
Brook Lopez,Los Angeles Lakers,"$22,642,650"
Marc Gasol,Memphis Grizzlies,"$22,642,350"
DeAndre Jordan,LA Clippers,"$22,642,350"
Steven Adams,Oklahoma City Thunder,"$22,471,910"
Rudy Gobert,Utah Jazz,"$21,924,719"
Serge Ibaka,Toronto Raptors,"$21,666,667"
LaMarcus Aldridge,San Antonio Spurs,"$21,461,010"
Victor Oladipo,Indiana Pacers,"$21,000,000"
Danilo Gallinari,LA Clippers,"$20,559,599"
Ryan Anderson,Houston Rockets,"$19,578,455"
Paul George,Oklahoma City Thunder,"$19,508,958"
Jimmy Butler,Minnesota Timberwolves,"$19,301,070"
Tyler Johnson,Miami Heat,"$19,245,370"
